PI, Points, Execution Time, Processors
3.141347, 61500000, 1.038325, 2
3.141504, 61500000, 0.692772, 3
3.141380, 61500000, 0.519152, 4
3.141759, 61500000, 0.415333, 5
3.141093, 61500000, 0.346254, 6
3.141511, 61500000, 0.296734, 7
3.141600, 61500000, 0.259777, 8
3.141653, 615000000, 10.379499, 2
3.141566, 615000000, 6.920425, 3
3.141617, 615000000, 5.190739, 4
3.141544, 615000000, 4.152130, 5
3.141550, 615000000, 3.460284, 6
3.141555, 615000000, 2.965936, 7
3.141595, 615000000, 2.595788, 8
3.141583, 4270000000, 72.119643, 2
3.141598, 4270000000, 48.108838, 3
3.141590, 4270000000, 36.080733, 4
3.141636, 4270000000, 28.863874, 5
3.141591, 4270000000, 24.054304, 6
3.141597, 4270000000, 20.618034, 7
3.141587, 4270000000, 18.042843, 8
3.141452, 61500000, 1.255504, 1
3.141518, 615000000, 12.544634, 1
3.141573, 4270000000, 92.014988, 1
