PI, Points, Execution Time, Processors
3.141359, 123000000, 2.093099, 2
3.141674, 184500000, 2.093807, 3
3.141574, 246000000, 2.093981, 4
3.141536, 307500000, 2.096650, 5
3.141507, 369000000, 2.093544, 6
3.141428, 430500000, 2.093756, 7
3.141486, 492000000, 2.093527, 8
3.141621, 1230000000, 20.942886, 2
3.141569, 1845000000, 20.933569, 3
3.141568, 2460000000, 20.933060, 4
3.141579, 3075000000, 20.929803, 5
3.141632, 3690000000, 20.946816, 6
3.141605, 4305000000, 20.932486, 7
3.141586, 4920000000, 20.930263, 8
3.141601, 8540000000, 145.400558, 2
3.141614, 12810000000, 145.371092, 3
3.141567, 17080000000, 145.245311, 4
3.141585, 21350000000, 145.380943, 5
3.141601, 25620000000, 145.419227, 6
3.141585, 29890000000, 145.427381, 7
3.141593, 34160000000, 145.475128, 8
3.141785, 61500000, 1.224906, 1
3.141609, 615000000, 12.248418, 1
3.141570, 4270000000, 84.937501, 1
