PI, Points, Execution Time, Processors
3.141153, 61500000, 0.627361, 2
3.141546, 61500000, 0.419151, 3
3.141351, 61500000, 0.317122, 4
3.141508, 61500000, 0.252661, 5
3.141561, 61500000, 0.213207, 6
3.141583, 61500000, 0.187857, 7
3.141650, 61500000, 0.165300, 8
3.141686, 615000000, 6.182653, 2
3.141560, 615000000, 4.114851, 3
3.141542, 615000000, 3.115543, 4
3.141610, 615000000, 2.519814, 5
3.141622, 615000000, 2.136724, 6
3.141615, 615000000, 1.857925, 7
3.141555, 615000000, 1.646471, 8
3.141543, 4270000000, 42.880061, 2
3.141605, 4270000000, 28.794377, 3
3.141618, 4270000000, 21.844955, 4
3.141601, 4270000000, 17.433305, 5
3.141591, 4270000000, 14.714932, 6
3.141587, 4270000000, 13.749292, 7
3.141617, 4270000000, 11.355738, 8
3.141713, 61500000, 1.014103, 1
3.141652, 615000000, 9.642023, 1
3.141580, 4270000000, 67.304034, 1
